2188 00348 1|H|323.23834273|+24.12720470|  334.8|   51.4| 24.3| 25.6|  1.6|  1.4|H|      |     |11.516|0.070|  7|T|106394B
2234 00102 1|H|344.44473474|+23.65151175|  -10.1|  -23.8| 58.7| 25.7|  1.2|  1.2|H|      |     |12.156|0.109| 10|T|113384B
2257 01396 1|H|355.11998500|+29.98654568|  201.2|    7.1| 45.7| 37.2|  2.7|  2.1|H|      |     |13.944|0.154|  9|T|116810B
2271 01073 1|H|001.92928634|+37.18532893|    7.7|  -16.2|  9.7|  7.4|  0.7|  0.6|H|      |     |10.596|0.040| 10|T|   634B
2360 00828 1|H|057.75629931|+32.55843193|    8.0|  -18.1| 16.6| 11.2|  1.9|  1.3|H|      |     |11.788|0.050|  9|T| 18014B
2399 01706 1|H|073.03819389|+36.22057383|   -8.4|    0.9| 33.9| 20.5|  1.6|  1.3|H|      |     |11.968|0.107|  9|T| 22630B
2425 00359 1|H|095.91560160|+32.33275651|  -17.1|  -26.8| 19.3| 10.6|  2.3|  1.4|H|      |     |11.434|0.071|  9|T| 30411B
2426 00529 1|H|097.90280940|+32.16601084|    5.5|  -24.4| 15.3| 10.8|  1.6|  0.9|H|      |     |10.256|0.045|  9|T| 31104B
2430 00751 1|H|098.78979243|+34.94952326|   21.8|   13.2| 16.1|  9.0|  2.2|  1.4|H|      |     |11.651|0.037| 10|T| 31431B
2523 00497 1|H|172.32809546|+30.42499576|   32.2| -136.9| 12.1|  9.8|  1.0|  0.8|H|      |     |10.427|0.046| 10|T| 56054B
2604 01775 1|H|259.41804488|+37.29116210|  -42.7|   63.8| 14.5| 21.1|  0.5|  0.6|H|      |     | 8.678|0.076|  8|T| 84606B
2616 00409 1|H|269.59631787|+35.40752999|   -6.5|   16.0| 45.1| 46.4|  1.3|  1.3|H|      |     |13.144|0.264|  9|T| 87987B
2621 02683 1|H|271.75683152|+30.56211228|  -69.0|   48.1| 15.9| 21.6|  9.6| 14.2|H|      |     | 8.941|0.067|  9|T| 88745B
2635 01356 1|H|276.06679546|+36.14525347|   -2.1|    6.0| 31.3| 27.5|  1.5|  1.7|H|      |     |12.753|0.106|  8|T| 90196B
2647 02499 1|H|285.45449116|+34.80849035|    1.0|   -2.4| 20.2| 20.6|  1.2|  1.2|H|      |     |12.056|0.072|  9|T| 93440B
2684 00857 1|H|304.25035330|+37.42343953|   -1.9|   -6.7| 29.9| 25.6|  1.2|  1.5|H|      |     |11.015|0.098|  9|T| 99982C
2685 01750 1|H|306.26057583|+30.56839342|    3.5|   -6.4| 15.2| 17.6|  0.8|  0.9|H|      |     |11.282|0.068|  8|T|100708B
2695 03999 1|H|310.81046030|+33.83128771|   14.7|    5.3| 32.3| 30.5|  0.6|  0.7|H|      |     |11.428|0.122| 10|T|102261B
2755 00904 1|H|346.67664441|+33.02937596|  -12.9| -154.0| 15.5| 11.2|  3.1|  2.1|H|      |     |12.121|0.049|  9|T|114121P
2794 01098 1|H|003.14217514|+44.70744946|   98.8|  -21.6|  9.6|  7.2|  0.6|  0.5|H|      |     | 9.771|0.030|  8|T|  1009B
2833 00085 1|H|030.12684382|+39.96726283|   -3.3|   -8.9| 71.3| 42.9|  1.7|  1.2|H|      |     |12.273|0.250| 10|T|  9378B
2840 00914 1|H|038.28834400|+41.81768294|   43.5|    0.1| 47.7| 25.9|  1.4|  1.1|H|      |     |12.126|0.225| 10|T| 11871B
2843 00541 1|H|035.71057340|+43.51747026|  -11.2|   -6.8| 23.4| 19.3|  1.0|  1.0|H|      |     |11.415|0.102|  9|T| 11092B
2910 00686 1|H|082.54875676|+38.31127391|   -9.1|  -15.5|  9.9|  7.2|  2.4|  1.6|H|      |     |11.236|0.024| 10|T| 25771B
2935 02079 1|H|096.11692827|+41.81604000|    5.0|   -8.9| 37.3| 20.8|  2.1|  1.4|H|      |     |11.875|0.112|  8|T| 30482B
2995 00964 1|H|143.65796039|+41.39036630|   22.7|   37.0| 66.1| 40.7|  2.5|  1.2|H|      |     |12.699|0.239| 10|T| 46989B
3004 00969 1|H|154.10176838|+40.04391311|  -10.1|   -2.3|  6.5|  5.4|  2.1|  1.5|H|      |     |10.987|0.016|  8|T| 50313B
3036 00471 1|H|218.62785989|+38.01258930|  -31.7|   22.7| 25.0| 25.7|  0.9|  1.1|H|      |     |11.551|0.093|  9|T| 71268B
3161 01401 1|H|308.09372037|+41.30542890|   -0.7|   -2.7| 43.0| 44.4|  2.8|  2.4|H|      |     |11.941|0.245| 10|T|101341B
3172 01090 1|H|315.02068353|+40.07094634|  614.4| -247.2| 19.2| 20.6|  2.1|  2.5|H|      |     |12.401|0.086|  9|T|103655B
3185 01155 1|H|328.01019816|+38.95479568|   93.2|   25.6| 21.6| 27.5|  0.7|  0.9|H|      |     |11.302|0.089| 10|T|107934B
3228 00205 1|H|347.47833918|+44.86454293|    3.2|   -3.9| 10.6|  8.8|  1.0|  1.0|H|      |     |10.892|0.041|  9|T|114374B
3295 01547 1|H|037.81505673|+46.39486773|  -22.1|  -16.1| 11.8|  9.9|  0.9|  0.8|H|      |     |10.517|0.050|  8|T| 11719B
3412 01230 1|H|113.89058810|+52.20671356|   12.1|    5.1| 21.2| 15.3|  1.6|  1.6|H|      |     |11.404|0.073|  8|T| 36935B
3429 01572 1|H|143.65884988|+48.30344049|    6.2|  -27.3| 44.4| 36.7|  3.0|  2.0|H|      |     |13.425|0.182|  8|T| 46990B
3454 00551 1|H|179.95377619|+51.06405780|  -85.1|  -11.6| 13.7| 15.5|  1.8|  1.5|H|      |     |11.695|0.057|  9|T| 58497B
3459 01053 1|H|194.76620827|+47.15120560|  -59.9|    7.3| 20.2| 20.6|  1.0|  0.8|H|      |     |11.574|0.109|  8|T| 63368B
3477 01142 1|H|222.32522439|+49.83797413|   39.5|   25.6| 41.5| 35.8|  1.1|  1.0|H|      |     |11.730|0.115| 10|T| 72486B
3589 05310 1|H|318.79866346|+46.31955824|   -1.6|   -4.6| 30.4| 22.9|  1.9|  1.6|H|      |     |12.693|0.110|  9|T|104921B
3602 01659 1|H|321.27878408|+52.47535415|   53.3|  -11.8| 20.9| 22.8|  1.0|  0.9|H|      |     |11.896|0.094|  9|T|105749B
